code,libelle
ACP,Autre culture pérenne
AGR,Agrume
AIL,Ail
ANA,Ananas
ARA,Arachide
ART,Artichaut
AVH,Avoine d'hiver
AVP,Avoine de printemps
BCA,Banane créole (fruit et légume) - autre
BDH,Blé dur d'hiver
BDP,Blé dur de printemps
BEF,Banane export - fermage
BFS,Bande admissible le long d'une forêt sans production
BOR,Bordure de champ
BTA,Bande tampon
BTH,Blé tendre d'hiver
BTN,Betterave non fourragère / Bette
BTP,Blé tendre de printemps
CAC,Café / Cacao
CAE,Châtaigneraie entretenue par des porcins ou des petits ruminants
CAG,Autre céréale d’un autre genre
CAR,Carotte
CBT,Cerise bigarreau pour transformation
CCN,Concombre / Cornichon
CEE,Chênaie entretenue par des porcins ou des petits ruminants
CEL,Céleri
CHU,Chou
CHV,Chanvre
CID,Cultures conduites en interrangs : 2 cultures représentant chacune plus de 25%
CIT,Cultures conduites en interrangs : 3 cultures représentant chacune plus de 25%
CML,Cameline
CPL,Fourrage composé de céréales et/ou de protéagineux (en proportion < 50%) et/ou de légumineuses fourragères (en proportion < 50%)
CSA,Canne à sucre - autre
CSE,Chanvre sans étiquette conforme
CSS,Culture sous serre hors sol
CTG,Châtaigne
CZH,Colza d'hiver
CZP,Colza de printemps
EPE,Epeautre
EPI,Epinard
FEV,Fève
FLA,Autre légume ou fruit annuel
FLP,Autre légume ou fruit pérenne
FNU,Fenugrec
FRA,Fraise
FVL,Féverole semée avant le 31/05
GES,Gesse
HBL,Houblon
HPC,Horticulture ornementale de plein champ
JNO,Jachère noire
LAV,Lavande / Lavandin
LBF,Laitue / Batavia / Feuille de chêne
LDH,Lupin doux d'hiver
LDP,Lupin doux de printemps semé avant le 31/05
LEC,Lentille cultivée (non fourragère)
LIF,Lin fibres
LIH,Lin non textile d'hiver
LIP,Lin non textile de printemps
LOT,Lotier
LUZ,Autre luzerne
MCR,Mélange de céréales
MID,Maïs doux
MIS,Maïs
MLG,Mélange de légumineuses prépondérantes au semis et de graminées fourragères de 5 ans ou moins
MLO,Melon
MLT,Millet
MOH,Moha
MOT,Moutarde
MPC,Mélange de protéagineux (pois et/ou lupin et/ou féverole) prépondérants semés avant le 31/05 et de céréales
MRS,Marais salant
NOS,Noisette
NOX,Noix
NVT,Navet
OAG,Autre oléagineux d’un autre genre
OEI,Oeillette
OHR,Autre oléagineux d’hiver d’espèce Brassica rapa
OIG,Oignon / Echalotte
OLI,Oliveraie
ORH,Orge d'hiver
ORP,Orge de printemps
PAG,Autre protéagineux d’un autre genre
PCH,Pois chiche
PEP,Pépinière
PFR,Petit fruit rouge
PHI,Pois d'hiver
POR,Poireau
POT,Potiron / Potimarron
PPH,Prairie permanente - herbe prédominante (ressources fourragères ligneuses absentes ou peu présentes)
PPP,Autre PPAM pérenne
PPR,Pois de printemps semé avant le 31/05
PRU,Prune d'Ente pour transformation
PSL,Persil
PTC,Pomme de terre de consommation
PTR,Autre prairie temporaire de 5 ans ou moins
PVP,Poivron / Piment
PVT,Pêche Pavie pour transformation
PWT,Poire Williams pour transformation
RDI,Radis
RIZ,Riz
SAI,Autre sainfoin
SBO,Surface boisée sur une ancienne terre agricole
SGH,Seigle d'hiver
SGP,Seigle de printemps
SNE,Surface agricole temporairement non exploitée
SOG,Sorgho
SOJ,Soja
SPH,Surface pastorale - herbe prédominante et ressources fourragères ligneuses présentes
SPL,Surface pastorale - ressources fourragères ligneuses prédominantes
SRS,Sarrasin
TAB,Tabac
TBT,Tubercule tropical
TCR,Taillis à courte rotation
TOM,Tomate
TRE,Autre trèfle
TRN,Tournesol
TRU,Truffière (chênaie de plants mycorhizés)
TTH,Triticale d'hiver
TTP,Triticale de printemps
VES,Autre vesce
VNL,Vanille
VRC,Vigne : raisins de cuve
VRG,Verger
ZZZ,Culture inconnue
CNA,Châtaigneraie non entretenue par des porcins ou des petits ruminants
CNE,Chênaie non entretenue par des porcins ou des petits ruminants
MLC,Mélange de légumineuses fourragères prépondérantes et de céréales et/ou d'oléagineux
MLF,Mélange de légumineuses fourragères (entre elles)
CAH,Autre céréale ou pseudo-céréale secondaire d'hiver
MCS,Mélange de céréales ou pseudo-céréales de printemps entre elles
FVP,Féverole de printemps
PHS,Pois et haricot secs (alimentation humaine)
PHF,Pois et haricot frais (alimentation humaine)
MDI,Maraîchage diversifié (plusieurs espèces de fruits et légumes majoritairement non pérennes)
SHD,Surfaces hautement diversifiées (DOM)
GRA,Graminée pure exclusivement pour gazon ou pour production de semences certifiées
JAC,Jachère (terre arable)
ARP,Plante aromatique pérenne non arbustive ou arborée autre que la vanille
AAR,Plantes aromatiques herbacées non pérennes (< 5 ans) autres que persil
PRF,Plantes à parfum pérennes autres que lavande et lavandin
AME,Plantes médicinales et à parfum non pérennes (< 5 ans)
PME,Plantes médicinales pérennes (autres que arbres)
AFG,Autre plante fourragère annuelle (ni légumineuse ni graminée ni céréale ni oléagineux)
MSW,"Culture pérenne à forte biomasse (miscanthus, switchgrass, silphie, canne fourragère, …)"
SAG,Roselière (récolte de sagnes)
SNU,Parc d'élevage de monogastriques avec couvert dégradé voire sol nu
SIN,Surface pastorale ou parcours non utilisé l'année en cours
PEV,Pépinière (plants laissés en terre moins d’un an)
